ID,Name,Img
1918,"Catwild Publications",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1919,"Continum",https://comicvine.gamespot.com/api/image/square_avatar/2453831-continum.jpg
1920,"Conquest Press",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1921,"Deluxe",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1922,"Double Edge Publications",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1923,"Fathom Press",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1924,"Forbidden Fruit",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1925,"Friendly",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1926,"Jademan",https://comicvine.gamespot.com/api/image/square_avatar/435531-jademan_comics_logo.jpg
1928,"Lee Beardall",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1929,"Mindgame Press Page One, Inc.",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1931,"Personality",https://comicvine.gamespot.com/api/image/square_avatar/1250048-personality_comics_logo.jpg
1932,"Rip Off Press",https://comicvine.gamespot.com/api/image/square_avatar/990734-ripoffpress.jpg
1933,"Studio Insidio",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1934,"TSR",https://comicvine.gamespot.com/api/image/square_avatar/1268549-tsr.jpg
1935,"The 3-D Zone",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1936,"Utterly Strange Publications",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1937,"Yendie Book Publishing",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1938,"Pantheon Books",https://comicvine.gamespot.com/api/image/square_avatar/5955651-c73.gif
1939,"Speakeasy Comics",https://comicvine.gamespot.com/api/image/square_avatar/632682-40_20060320114728_publisher.jpg
1940,"Arsenic Lullaby Publishing",https://comicvine.gamespot.com/api/image/square_avatar/794825-arsenic_lullaby_publishing.jpg
1941,"Little, Brown & Co.",https://comicvine.gamespot.com/api/image/square_avatar/5110335-little-brown-company-logo.png
1942,"Hamster Press",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1943,"Platinum Studios Comics",https://comicvine.gamespot.com/api/image/square_avatar/412883-Platinum_Logo_Black_CMYK_logo-1.jpg
1944,"Corgi",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1945,"Torpedo Comics",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1946,"View Askew",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
1947,"Orang Utan Comics",https://comicvine.gamespot.com/api/image/square_avatar/6373148-blank.png
